ccl_name_norm,cpd_name_norm,rep1,rep2,abs_diff,rel_diff
ncih1299,lapatinib,1.0282,1.1806666666666665,0.15246666666666653,1.0089772456320354
ncih1299,lbh-589,0.59855,0.46365,0.13490000000000002,0.9401451563405298
ncih1299,le-135,0.9655,0.9392307692307693,0.02626923076923071,0.276008722694785
ncih1299,lenvatinib,0.9799375,0.8934375,0.08650000000000002,0.8674448137451581
ncih1299,leptomycin b,0.43699230769230774,0.21767692307692307,0.21931538461538466,1.2080111255538726
ncih1299,linifanib,0.827125,0.80975,0.01737500000000003,0.16946085830074947
ncih1299,linsitinib,0.9269375,1.1920833333333334,0.2651458333333334,2.771916174940954
ncih1299,lomeguatrib,0.92475,0.884,0.04074999999999995,0.37735422363685567
ncih1299,lovastatin,0.712,0.668125,0.043875,0.3778974726568687
ncih1299,ly-2157299,1.0147333333333333,1.0604285714285715,0.04569523809523823,0.6242363965779071
ncih1299,ly-2183240,0.825375,0.782625,0.042749999999999955,0.5420506921934389
ncih1299,manumycin a,0.9004375,0.9691428571428571,0.06870535714285708,0.7496555495676672
ncih1299,masitinib,0.896875,0.9789285714285715,0.0820535714285715,1.2923435776066374
ncih1299,mdivi-1,0.9051875,0.86175,0.04343750000000002,0.2964224589235331
ncih1299,merck60,1.0147857142857144,1.069923076923077,0.055137362637362575,0.41358199871628726
ncih1299,methotrexate,0.6466875,0.6590615384615385,0.012374038461538506,0.06013551078391982
ncih1299,mgcd-265,0.903625,1.1099999999999999,0.20637499999999986,2.1265279873692786
ncih1299,mi-1,0.96875,1.1073846153846154,0.1386346153846154,1.4650768635238853
ncih1299,mitomycin,0.805375,0.7264375,0.0789375,0.39079835812847974
ncih1299,mk-0752,1.1528461538461539,1.1355384615384616,0.017307692307692246,0.16958023009118478
ncih1299,mk-1775,0.786875,0.5231642857142857,0.26371071428571424,2.669088443640727
ncih1299,mk-2206,0.916875,1.0934545454545455,0.17657954545454546,1.9434383284664538
ncih1299,ml006,0.9375,1.0202857142857142,0.08278571428571424,0.8047908864461499
ncih1299,ml029,0.9174375,1.0152857142857143,0.09784821428571433,0.8884486581577145
ncih1299,ml031,1.0266666666666666,0.8553125,0.17135416666666659,0.8935219224333594
ncih1299,ml050,0.9608125,0.929125,0.03168749999999998,0.2555059007951194
ncih1299,ml083,0.9505625,1.0,0.04943750000000002,0.9479053101043624
ncih1299,ml162,0.623325,0.39511333333333337,0.22821166666666665,1.4555822442262045
ncih1299,ml203,1.0388125,0.8928571428571429,0.145955357142857,1.9782176386648544
ncih1299,ml210,0.7961333333333334,0.38674375,0.40938958333333336,2.114207584871944
ncih1299,ml239,0.9906875,0.8370625,0.153625,1.1728013619303255
ncih1299,ml258,0.9375,0.92875,0.008750000000000036,0.10596260067366899
ncih1299,ml311,0.8305882352941176,0.6455882352941176,0.18500000000000005,2.3762013662461916
ncih1299,ml312,0.9375,0.91225,0.025249999999999995,0.26220977962272923
ncih1299,mln2238,0.6178933333333333,0.67725,0.059356666666666724,0.4828985010284904
ncih1299,mst-312,0.7709375,0.76825,0.002687500000000065,0.02490598666675211
ncih1299,myricetin,0.9600625,1.23,0.26993749999999994,3.3267079196762426
ncih1299,myriocin,0.91325,0.8681875,0.045062500000000005,0.7350557488970995
ncih1299,n9-isopropylolomoucine,0.9155,0.6716,0.2439,4.111541466488621
ncih1299,nakiterpiosin,0.862375,0.6526333333333334,0.2097416666666666,2.2024817184787113
ncih1299,narciclasine,0.58940625,0.426975,0.16243125000000003,0.9381411647074356
