drug,n_lines,spearman,pearson,true_std
ruxolitinib,27,0.4902319902319902,0.44840001922725353,0.06823576617532916
carboplatin-etoposide (40-17 mol-mol),27,0.4511599511599511,0.5926396727800914,0.08184628614240261
quizartinib,27,0.13919413919413917,0.14004947834748446,0.07825511842694471
nvp-231,27,0.07631257631257632,0.04281262614635299,0.0743727096755116
pf-573228,27,-0.018315018315018316,-0.12948233224644246,0.07243640016460806
nilotinib,27,0.03540903540903541,0.12412321628325271,0.09398511877830398
cct036477,27,0.03907203907203907,-0.02882710451750216,0.07402367892520266
"(1s,3r)-rsl3",26,0.7018803418803419,0.6990672937143081,0.17758391910060456
ml162,27,0.7155067155067154,0.6396061304031726,0.1536863400394372
alisertib,27,0.5293040293040293,0.6624591212061094,0.10320615492513913
fumonisin b1,27,0.07936507936507936,0.15087181003821565,0.068380387048519
gant-61,26,-0.23829059829059826,-0.03758258076076677,0.0671517315212123
topotecan,27,0.20757020757020758,0.39586488954644083,0.11735042154198666
birinapant,26,-0.03521367521367521,-0.1934218034267945,0.10509264162547732
azd8055,27,0.12332112332112331,0.14636709085083915,0.13850037038418908
telomerase inhibitor ix,27,0.09584859584859586,0.11683651605957204,0.08484067613561286
ku-60019,27,0.1581196581196581,-0.05777278278845009,0.07459062555758755
leptomycin b,27,0.24786324786324787,0.28668464419116046,0.21287774939860515
azd-7545,27,0.23870573870573872,0.16699597936630173,0.07615039983706341
linifanib,27,0.278998778998779,0.15886131472963638,0.08588933160585702
manumycin a,27,-0.05433455433455433,-0.10158181584884257,0.0711823594047744
unc0638,27,-0.03235653235653236,0.08260530008994452,0.07746129779599065
ver-155008,26,0.14119658119658116,0.12861004326729034,0.052680163121593925
spautin-1,27,-0.2344322344322344,-0.22643074364952465,0.08986597158262696
zebularine,27,-0.13553113553113552,-0.0329415464939473,0.060845288927551505
dexamethasone,27,-0.026862026862026864,-0.07664273850428266,0.10195361988047505
brd9876,27,0.0036630036630036626,0.09769013769080363,0.11884678196793245
sirolimus-bortezomib (250-1 mol-mol),26,0.045470085470085464,0.04960096660147632,0.11991964212997579
hms3654n14,27,0.3101343101343101,0.3756844056865426,0.12330004172063666
doxorubicin,26,0.17811965811965808,0.24244985009197367,0.11581067773028188
sonidegib,27,0.018315018315018316,0.09130222480857403,0.052300925159839744
tg-100-115,27,0.022588522588522588,-0.10645534777088853,0.06238008320925206
ku-0063794,27,0.13736263736263737,0.13443160721614852,0.07249663168346479
c646,27,-0.1758241758241758,-0.012623541849215228,0.060163359855479596
jw-480,27,0.15506715506715504,0.20989280773606842,0.05525035105609782
kx2-391,27,0.2258852258852259,0.3739074586739935,0.19280099927046263
jq12,27,0.22344322344322343,0.18097596307737462,0.0794138183571517
cay10618,27,-0.23748473748473747,-0.02609795471477748,0.14231399620876486
cd-437,27,0.08974358974358974,0.17701911728074338,0.08354403162814253
imatinib,27,-0.08608058608058607,-0.006266632743648151,0.07682500169884171
mln2238,27,0.4255189255189255,0.48006164625226605,0.09093227186815016
cerulenin,27,0.21001221001221002,0.21984614325624982,0.058257056479295584
le-135,27,-0.015262515262515262,0.012515993217126403,0.08389333474117344
ml203,27,0.09462759462759461,0.12191918369687493,0.06740312816035506
cytarabine hydrochloride,27,0.30341880341880345,0.29382371876621627,0.11527226683934443
myricetin,26,0.15350427350427348,0.2575159032752521,0.07435698136880023
crizotinib-plx-4032 (2-1 mol-mol),27,0.3266178266178266,0.4222392981929032,0.0835700691261649
ml050,27,-0.18437118437118435,-0.024103883607397104,0.05456127434438139
docetaxel-tanespimycin (2-1 mol-mol),27,0.42246642246642246,0.43162403644995745,0.212947870802253
navitoclax-plx-4032 (1-1 mol-mol),27,0.42735042735042733,0.44424202701415755,0.11329957240049313
erastin,27,0.35958485958485964,0.23029722706064895,0.12272799755872271
erlotinib,26,0.3463247863247863,0.6162232639404008,0.12181294304016042
mdivi-1,27,0.4029304029304029,0.37086613065685003,0.06475894806118668
lovastatin,26,0.37025641025641026,0.4313582271548897,0.10550236826314026
cid-5951923,26,0.15076923076923074,0.06063686608524409,0.06645024113829368
niclosamide,26,0.32307692307692304,0.39539215645744397,0.11422157596666767
