drug,n_lines,spearman,pearson,true_std
n9-isopropylolomoucine,27,0.01587301587301587,0.14161542641732183,0.07632955037857844
selumetinib-plx-4032 (8-1 mol-mol),27,-0.11904761904761904,-0.11928412216902409,0.15648754841951376
ml320,26,-0.2676923076923077,-0.16606773575768918,0.10638625912590892
sb-431542,27,0.10073260073260072,0.11154440600625966,0.055448438666896686
dacarbazine,27,0.21062271062271062,0.182926974516132,0.057160772349580495
jq-1-vorinostat (2-1 mol-mol),27,0.04700854700854701,0.15931950229901937,0.12818795770200242
ku 0060648,27,-0.40109890109890106,-0.3455812672866516,0.1141836077702401
snx-2112-bortezomib (250-1 mol-mol),27,0.2655677655677655,0.2689218513598331,0.1271018599832232
selumetinib-mk-2206 (8-1 mol-mol),27,0.03540903540903541,0.06949440322119375,0.12479635226282203
ki8751,27,-0.1862026862026862,-0.20874721181926698,0.08631895088572425
vorinostat-carboplatin (1-1 mol-mol),27,0.05738705738705738,-0.3423264962907665,0.09831023996486632
selumetinib-piperlongumine (8-1 mol-mol),27,-0.07448107448107448,-0.08837685271899841,0.1577374917724157
nakiterpiosin,26,-0.20410256410256405,-0.12664588079969752,0.11702130052260352
jq-1-navitoclax (2-1 mol-mol),26,-0.2629059829059829,-0.049959992054009396,0.12450453375430434
nutlin-3,27,0.005494505494505494,0.049154725575510205,0.08397600370031455
mls003179190,26,-0.08376068376068375,-0.0701670949474797,0.06978876626114418
nvp-adw742,27,-0.16056166056166057,-0.17300718404517682,0.08592005508304203
nvp-bsk805,26,-0.32512820512820506,-0.42529043908751907,0.08930865729299822
serdemetan-sch-529074 (1-1 mol-mol),27,0.3815628815628816,0.3777281486853027,0.08030680078071596
jq-1-mk-0752 (1-1 mol-mol),27,-0.48473748473748474,-0.3088112394436954,0.1390291254045934
tretinoin,27,-0.07203907203907202,0.04519319319875049,0.06956634186794228
ku-55933,27,-0.5415140415140415,-0.4697954994951751,0.07558443822374862
mitomycin-c,27,-0.30586080586080583,-0.2758322439381512,0.15418489303061794
stf-31,25,0.10230769230769231,-0.03412707540241486,0.10924099102472111
navitoclax-birinapant (1-1 mol-mol),27,0.2979242979242979,0.21463321894758694,0.1280371987684882
sunitinib,26,-0.04957264957264957,-0.0373228967788241,0.06160579341316333
tae684,27,-0.24175824175824176,-0.2283335056493726,0.09489504390338202
tamatinib,27,-0.2313797313797314,-0.10151032289771211,0.0881273661198222
sb-525334,27,0.04151404151404151,-0.23044724427747654,0.07997504443823429
necrostatin-1,27,-0.14224664224664224,-0.10594808317503793,0.07029096821958575
tanespimycin,27,0.07814407814407814,0.045350310445050265,0.15863817719347248
tanespimycin-gemcitabine (1-1 mol-mol),27,0.2551892551892551,0.24741799615465593,0.15252447249376297
ml258,26,0.3818803418803418,0.47748711253353204,0.058421720539831745
px-12,26,-0.048888888888888885,-0.019293214761458316,0.06535750458936934
neuronal differentiation inducer iii,26,0.3887179487179487,0.2929385791960877,0.11315630789786779
tivozanib,27,0.07509157509157507,-0.04309070301983908,0.07240221060807352
procarbazine,26,0.0858119658119658,-0.04377790956396542,0.07149489330011827
pluripotin,27,-0.0873015873015873,-0.250346242320862,0.11607901770424982
selumetinib-tretinoin (2-1 mol-mol),27,-0.020757020757020756,-0.060176812872607593,0.17022545596336267
zstk474,27,-0.3107448107448107,-0.13323370660793687,0.09561441661312893
bexarotene,26,0.1152136752136752,0.21035603909361644,0.07607675739582623
hli 373,26,0.15897435897435896,0.27269500563423155,0.055007377041809746
crizotinib,27,-0.24114774114774112,-0.11532062167386582,0.06781349290672349
brd-k14844214,27,-0.19291819291819293,-0.2272773970956726,0.0521471038834928
az-3146,27,0.04151404151404151,0.07567063718261544,0.07010499014761759
brd-k19103580,25,-0.13999999999999999,-0.07949986125183892,0.05045341331752144
bosutinib,25,-0.09153846153846153,-0.019766300446597176,0.07844594546739309
bms-754807,27,-0.42735042735042733,-0.3486351750647282,0.11102269820733274
