drug,n_lines,spearman,pearson,true_std
etomoxir,26,0.2669931945039137,0.18860022097510182,0.05696634240848859
ko-143,27,0.004901240397844854,0.05321882617942482,0.07534503549154425
ac55649,27,-0.17658741096882272,-0.2684399578535258,0.05618601499711923
alisertib,26,-0.15750746312568237,-0.1661141183788269,0.08477847040721904
tpca-1,26,-0.028203434346343682,-0.007566700985844388,0.09783745341420991
navitoclax,27,-0.19094304458449696,-0.09197742300244946,0.11406989168191736
topotecan,26,-0.0394853422012197,0.016276376147243476,0.10702646323501555
fumonisin b1,27,0.042527265088523884,0.11090799021778588,0.06549651261485873
tipifarnib-p1,27,0.16567339530630854,0.08779209490745732,0.08861751825217334
myricetin,26,-0.10196641414063637,-0.037324136137108645,0.07065391845468517
azd6482,27,0.16011088683709598,0.23483494095641688,0.062075851979845005
pik-93,27,-0.22837079569265475,-0.12564222233631148,0.08670699857087424
cerulenin,27,0.3267918041239799,0.32224138704984734,0.059815972643057505
brd9876,27,-0.18379235831862584,-0.1985680896778772,0.10191185069119044
isox,27,-0.28099280177179337,-0.17970586824433343,0.075304091227439
ver-155008,26,0.06276829754978987,0.12505035421755828,0.0523113184698506
brd1835,26,-0.2796322274088642,-0.3400779693974584,0.07782413425262387
brd-k66453893,27,-0.09612775997485305,-0.18712015148545227,0.09508408259640441
gefitinib,26,0.39952108668404834,0.3242812756278167,0.12012406653681715
brd-k70511574,27,-0.12595551248376674,-0.14195721485327084,0.11459834249050482
nilotinib,26,-0.3287538982421227,-0.31187593749093157,0.09742590795489427
vu0155056,26,-0.2771885950378539,-0.15527398280703425,0.062163912837233694
imatinib,27,-0.03855580707956189,0.02781567982361821,0.08593630554911935
nsc23766,27,-0.09024187101000744,-0.07384954239078467,0.08906776602467534
brd8899,26,-0.13061962196755247,-0.10076072086813567,0.0572486259247055
ouabain,26,-0.06859938310808392,-0.09750559362309755,0.16528914453588583
mln2238,26,0.09100365410171415,0.17005160260288046,0.08469852041061796
rita,27,0.019343282774452266,-0.19552134109632122,0.1937998534595147
bms-195614,26,0.3136235960783908,0.5290141401135999,0.057362878010206744
bortezomib,27,-0.22232679239745792,-0.23672947869455907,0.07856959531982215
kx2-391,27,-0.12348795961142599,-0.1313621991723535,0.19266286342686473
ku-60019,27,-0.05302727390435435,-0.12154831762777549,0.08916126102173841
birinapant,26,-0.09674156410974603,-0.25774429278759853,0.10298801868208075
bibr-1532,26,-0.2809912496009596,-0.2220427941842611,0.07490511782100248
brd-a71883111,27,0.09646352117828866,0.1006233724816866,0.05242894089516482
sr1001,27,0.04654747688603135,0.3627651691819255,0.059784991880035686
sgx-523,27,-0.40999228277937466,-0.04186529569465269,0.06235901356079544
erastin,27,-0.57937389897325,-0.571742160879712,0.1392394277593405
manumycin a,26,-0.059962458121377266,0.005493504758914469,0.08102707925293408
merck60,27,0.2076456094814425,0.1081726986274947,0.07745994246313609
erismodegib,27,-0.06258011012608936,-0.0866258266778404,0.057134855935903284
ruxolitinib,27,-0.4004350275885387,-0.43481850123395005,0.06464282786056649
ciclopirox,27,0.15955998588541154,0.08649305623651735,0.08673109771759588
fluorouracil,27,0.03257603648055287,0.0106393119904072,0.10223249393679623
selumetinib,26,0.03842879631036204,0.08290801172508214,0.15682784074630096
jw-480,27,-0.35298911921945286,-0.48732500172223125,0.05005104923727843
jq-1,27,-0.08637108742691804,-0.16076557540936473,0.09971243337464686
sb-743921,26,0.060948540079068386,0.014627365482146132,0.24091038861499325
erlotinib,26,-0.06812741752367235,-0.07226047516835954,0.12458184861138995
cd-437,26,-0.1043627413495484,-0.07006825890487904,0.08478289686127709
cay10618,27,-0.16764178404525293,-0.10103742504574484,0.14711502284847403
ml203,27,0.13798414787715302,0.18659489824908865,0.05889362459473542
