drug,n_lines,spearman,pearson,pred_std,score,heads,rep,seed
ml210,146,0.627127336527431,0.6126466219924079,0.5589293687846043,auc_z,K=10,X_scGPT,42
gsk461364,144,0.49919218712322155,0.5185648191391173,0.39352102976327036,auc_z,K=10,X_scGPT,42
oligomycin a,141,0.22604232220046253,0.23062031787010828,0.366159203650301,auc_z,K=10,X_scGPT,42
kx2-391,149,0.2887465989479412,0.3223138590263451,0.32335198335855475,auc_z,K=10,X_scGPT,42
methotrexate,147,0.31908846977368593,0.31134181301285185,0.34620171381386977,auc_z,K=10,X_scGPT,42
rigosertib,146,0.32722662990562307,0.35894006471092993,0.28157786194717543,auc_z,K=10,X_scGPT,42
snx-2112,153,0.38116945397400476,0.3665640796178424,0.34583935128173193,auc_z,K=10,X_scGPT,42
dasatinib,151,0.5257058208434995,0.556141019605073,0.49299558822730666,auc_z,K=10,X_scGPT,42
ml162,152,0.6273353318225929,0.6216155220930544,0.5560093732077149,auc_z,K=10,X_scGPT,42
daporinad,141,0.03647420317032266,0.09015997833408523,0.32418612174780254,auc_z,K=545,X_pca,42
ml210,146,0.48884925722769035,0.4581332054188664,0.359297189501057,auc_z,K=545,X_pca,42
gsk461364,144,0.3904147576561369,0.37614185960473895,0.3683688541987475,auc_z,K=545,X_pca,42
oligomycin a,141,0.17991857493454363,0.21635205520369818,0.28421820707221673,auc_z,K=545,X_pca,42
kx2-391,149,0.15295120623979686,0.11611095216679516,0.340259222734242,auc_z,K=545,X_pca,42
methotrexate,147,0.26458668424658405,0.2257736037172996,0.29234612112994246,auc_z,K=545,X_pca,42
rigosertib,146,0.33377806483954,0.3018565915277753,0.3069096324650228,auc_z,K=545,X_pca,42
snx-2112,153,0.3268523753889723,0.30282218367786007,0.356443868015042,auc_z,K=545,X_pca,42
dasatinib,151,0.4701429069362147,0.48493188353113714,0.3945047652045617,auc_z,K=545,X_pca,42
ml162,152,0.5208025963842862,0.5060348048949382,0.34904367398848485,auc_z,K=545,X_pca,42
daporinad,141,0.13158539704767697,0.15808630270152624,0.20108996464225565,auc_z,K=545,X_scGPT,42
ml210,146,0.5180010218541834,0.496314259810671,0.40953126129464484,auc_z,K=545,X_scGPT,42
gsk461364,144,0.479591672695121,0.470385544241605,0.34821335423102584,auc_z,K=545,X_scGPT,42
oligomycin a,141,0.15703650428888408,0.1323990308044292,0.2565122827925518,auc_z,K=545,X_scGPT,42
kx2-391,149,0.2476836568111736,0.25582337485514006,0.28881115004893193,auc_z,K=545,X_scGPT,42
methotrexate,147,0.25385368783841183,0.24457496214659086,0.29222190694346095,auc_z,K=545,X_scGPT,42
rigosertib,146,0.2780349551251772,0.2868627315724912,0.2340854710046113,auc_z,K=545,X_scGPT,42
snx-2112,153,0.25416378721898303,0.2495025064901518,0.30945218485387244,auc_z,K=545,X_scGPT,42
dasatinib,151,0.4699790867898222,0.5156507634934357,0.39955057499256635,auc_z,K=545,X_scGPT,42
ml162,152,0.493598313956599,0.47440161290254396,0.4077547007707486,auc_z,K=545,X_scGPT,42
