rep,seed,drug,program,cell_line,n_cells,rho,p,significant
X_pca,42,doxorubicin,EMTI_score,GOS3_CENTRAL_NERVOUS_SYSTEM,191,-0.05416739683140564,0.4567307788247186,False
X_pca,42,doxorubicin,EMTI_score,HCC1428_BREAST,127,-0.005434082097544406,0.951650738489024,False
X_pca,42,doxorubicin,EMTI_score,HCC366_LUNG,202,0.1486922627035859,0.034690407561293,False
X_pca,42,doxorubicin,EMTI_score,HCC38_BREAST,200,0.05805182137707538,0.4142029686316878,False
X_pca,42,doxorubicin,EMTI_score,HCC56_LARGE_INTESTINE,99,0.0068647125958819916,0.9462343324638376,False
X_pca,42,doxorubicin,EMTI_score,HDQP1_BREAST,64,0.10336893443370099,0.4163134389204571,False
X_pca,42,doxorubicin,EMTI_score,HEC151_ENDOMETRIUM,250,-0.08692017440516096,0.1706758490199432,False
X_pca,42,doxorubicin,EMTI_score,HEC251_ENDOMETRIUM,107,0.12688157299140762,0.192804313774142,False
X_pca,42,doxorubicin,EMTI_score,HEC6_ENDOMETRIUM,161,0.1026068677888071,0.1952470892815618,False
X_pca,42,doxorubicin,EMTI_score,HEP3B217_LIVER,118,-0.03977846477642502,0.6688883152228036,False
X_pca,42,doxorubicin,EMTI_score,HMC18_BREAST,293,0.01323954832956746,0.8214614196221891,False
X_pca,42,doxorubicin,EMTI_score,HOS_BONE,829,0.008197765741999853,0.8136803417179849,False
X_pca,42,doxorubicin,EMTI_score,HS852T_SKIN,162,0.18358978340964177,0.019359527576398257,False
X_pca,42,doxorubicin,EMTI_score,HT1080_SOFT_TISSUE,516,-0.007610020606597682,0.8630840007421796,False
X_pca,42,doxorubicin,EMTI_score,HT1197_URINARY_TRACT,74,0.014379859311366157,0.9032153986162036,False
X_pca,42,doxorubicin,EMTI_score,HT55_LARGE_INTESTINE,211,-0.09839180689197098,0.15439106087977972,False
X_pca,42,doxorubicin,EMTI_score,HUH28_BILIARY_TRACT,139,-0.28551703184609156,0.000656802673119626,True
X_pca,42,doxorubicin,EMTI_score,HUH6_LIVER,338,-0.11569332835465704,0.03348152065089339,False
X_pca,42,doxorubicin,EMTI_score,HUPT3_PANCREAS,136,-0.061808379952632844,0.4747116052152276,False
X_pca,42,doxorubicin,EMTI_score,HUPT4_PANCREAS,56,-0.32836637047163364,0.013481891487093646,False
X_pca,42,doxorubicin,EMTI_score,IALM_LUNG,322,-0.008738950060973711,0.8758690776195566,False
X_pca,42,doxorubicin,EMTI_score,IGR1_SKIN,725,0.11230816128665799,0.0024588692420362216,True
X_pca,42,doxorubicin,EMTI_score,IGR37_SKIN,347,0.10743197445128601,0.045521205521816946,False
X_pca,42,doxorubicin,EMTI_score,IM95_STOMACH,185,-0.33024001820338345,4.416316733397173e-06,True
X_pca,42,doxorubicin,EMTI_score,JHH6_LIVER,206,0.08537202690541694,0.2224300644675926,False
X_pca,42,doxorubicin,EMTI_score,JHOC5_OVARY,145,0.037498363925730076,0.6543050997603593,False
X_pca,42,doxorubicin,EMTI_score,KALS1_CENTRAL_NERVOUS_SYSTEM,288,-0.02113694568696903,0.7209527363748113,False
X_pca,42,doxorubicin,EMTI_score,KMRC3_KIDNEY,245,-0.017535993054791053,0.7847771196188299,False
X_pca,42,doxorubicin,EMTI_score,KNS42_CENTRAL_NERVOUS_SYSTEM,172,0.07748042973200692,0.3123725141969397,False
X_pca,42,doxorubicin,EMTI_score,KPL1_BREAST,276,-0.16373720096808927,0.006405175218945861,True
X_pca,42,doxorubicin,EMTI_score,KPNSI9S_AUTONOMIC_GANGLIA,129,-0.022143676741833245,0.80329396690504,False
X_pca,42,doxorubicin,EMTI_score,KYSE520_OESOPHAGUS,323,0.004932799860822222,0.9296302048398465,False
X_pca,42,doxorubicin,EMTI_score,LI7_LIVER,196,-0.08945574369256702,0.21244475466550922,False
X_pca,42,doxorubicin,EMTI_score,LMSU_STOMACH,255,-0.019764145977579965,0.7534540616871113,False
X_pca,42,doxorubicin,EMTI_score,LNCAPCLONEFGC_PROSTATE,129,-0.060474685059640286,0.4959990721670624,False
X_pca,42,doxorubicin,EMTI_score,LS1034_LARGE_INTESTINE,146,-0.257891489619819,0.001674172109454623,True
X_pca,42,doxorubicin,EMTI_score,LS180_LARGE_INTESTINE,361,0.08393488711950586,0.11137516674235247,False
X_pca,42,doxorubicin,EMTI_score,MCF7_BREAST,143,-0.15281905962773074,0.06843536474610018,False
X_pca,42,doxorubicin,EMTI_score,MDAMB361_BREAST,135,0.025987866963870527,0.7647916937521181,False
X_pca,42,doxorubicin,EMTI_score,MFE319_ENDOMETRIUM,191,0.014862131961394416,0.838305265606466,False
X_pca,42,doxorubicin,EMTI_score,MKN45_STOMACH,118,0.16325196483289126,0.07733505389048667,False
X_pca,42,doxorubicin,EMTI_score,MKN7_STOMACH,258,0.022766129648379853,0.7158955638854319,False
X_pca,42,doxorubicin,EMTI_score,MSTO211H_PLEURA,297,-0.03781167041686286,0.5162615858454392,False
X_pca,42,doxorubicin,EMTI_score,NCIH1299_LUNG,534,0.050440655045893325,0.24458038103704646,False
X_pca,42,doxorubicin,EMTI_score,NCIH1373_LUNG,164,0.007508957697262313,0.9239753541032795,False
X_pca,42,doxorubicin,EMTI_score,NCIH1435_LUNG,267,-0.19349504207181384,0.001488180400055206,True
X_pca,42,doxorubicin,EMTI_score,NCIH1792_LUNG,111,0.14087677234000476,0.140268216593023,False
X_pca,42,doxorubicin,EMTI_score,NCIH1944_LUNG,414,-0.07770607073882259,0.11440671864102842,False
X_pca,42,doxorubicin,EMTI_score,NCIH2087_LUNG,219,0.078112106532097,0.24969193343660734,False
X_pca,42,doxorubicin,EMTI_score,NCIH2110_LUNG,1990,0.04356070646583054,0.052025951970261226,False
X_pca,42,doxorubicin,EMTI_score,NCIH2126_LUNG,264,0.21597391601787003,0.0004088384566150415,True
X_pca,42,doxorubicin,EMTI_score,NCIH2170_LUNG,142,-0.0421055278773584,0.6188144748129111,False
