rep,seed,drug,cell_line,n_cells,r2_confounds,r2_confounds_adj,rho_total_counts,rho_genes_detected,rho_mito_fraction,rho_cell_cycle_G1S,rho_cell_cycle_G2M
X_pca,42,doxorubicin,HUH28_BILIARY_TRACT,139,0.3379698385844976,0.313081486651584,0.3315768483589901,0.37187360010926296,0.29100496000714954,0.14318797515262394,0.4312780537077963
X_pca,42,doxorubicin,HUH6_LIVER,338,0.10324752388372349,0.08974221550847838,0.0288304817736285,0.06501752223410795,0.2022992409981278,0.03027518830238305,0.2641331739309072
X_pca,42,doxorubicin,HUPT3_PANCREAS,136,0.07680311389866723,0.04129554135630831,0.15273603358618384,0.12959828824431122,0.031043366251610128,0.1502759320770093,-0.051681756216052484
X_pca,42,doxorubicin,HUPT4_PANCREAS,56,0.1882416325062608,0.1070657957568869,-0.017840054682159948,-0.048051948051948054,-0.3407382091592618,0.17942583732057418,0.08328918813909401
X_pca,42,doxorubicin,IALM_LUNG,322,0.17637453518639223,0.16334248669250606,0.10161044850138827,0.24468063024204417,0.0931076765700613,0.15074660274319782,0.27728145987607
X_pca,42,doxorubicin,IGR1_SKIN,725,0.02017694709761675,0.013363156743636306,0.1270764714544377,0.130360109202384,-0.027398922324432695,0.02736111396380602,-0.021463959098673723
X_pca,42,doxorubicin,IGR37_SKIN,347,0.02307893836995123,0.008754582627575114,0.07402025979834022,0.10668617014415081,-0.0012381533908629966,0.007572255045002074,0.0942288170413358
X_pca,42,doxorubicin,IM95_STOMACH,185,0.22646871353056597,0.204861694355442,0.08447367423524506,0.12957284930984864,0.022324779197149463,0.2838377937094173,0.44871393941542137
X_pca,42,doxorubicin,JHH6_LIVER,206,0.06979650852750885,0.04654142124069649,0.14723733101072473,0.16045753821181732,0.0076619753111840955,-0.16397344829707128,0.051481522282880186
X_pca,42,doxorubicin,JHOC5_OVARY,145,0.12751047442739472,0.09612595911902755,0.22257146765428396,0.23501729559259263,0.2790584159974807,-0.11675198838174934,-0.026535478558341232
X_pca,42,doxorubicin,KALS1_CENTRAL_NERVOUS_SYSTEM,288,0.1234722632144255,0.10793099128560324,0.17868272220615533,0.2237408938939076,0.03366066656217724,0.2154995269085433,0.22045494162925305
X_pca,42,doxorubicin,KMRC3_KIDNEY,245,0.05976460201021283,0.040094405399547894,0.15389564741274056,0.16208400245474827,-0.036882389901182394,0.061088354856558884,-0.10474682233806068
X_pca,42,doxorubicin,KNS42_CENTRAL_NERVOUS_SYSTEM,172,0.22144534927431025,0.19799490798739194,0.3235133020575519,0.3617059286564205,0.06535966209380151,0.10836007136498384,0.3413797210335725
X_pca,42,doxorubicin,KPL1_BREAST,276,0.22388119117444094,0.20950862064063436,0.42154912480546153,0.437635584355644,0.05086457099641843,-0.006951983370089358,-0.004689730907698508
X_pca,42,doxorubicin,KPNSI9S_AUTONOMIC_GANGLIA,129,0.039658559769819024,0.0006202898417628777,0.0038070427496276335,0.004919519731929416,0.06573680679785332,0.07059800200245606,0.1828409627717417
X_pca,42,doxorubicin,KYSE520_OESOPHAGUS,323,0.036723823675563594,0.021530193134168707,-0.014448244380553806,0.010235357127351508,0.05984020864893123,0.08529305823242826,0.17501185386682347
X_pca,42,doxorubicin,LI7_LIVER,196,0.13010222395453397,0.1072101772164954,0.0322426795347345,0.09058638698295678,-0.15694921467220238,-0.05741268384934335,0.28651697704875206
