rep,seed,drug_a,drug_b,cell_line,n_cells,rho
X_scGPT,43,imatinib,crizotinib,TOV112D_OVARY,78,-0.04303291645063796
X_scGPT,43,imatinib,crizotinib,UACC257_SKIN,239,-0.7283209099539396
X_scGPT,43,imatinib,crizotinib,UMUC1_URINARY_TRACT,197,-0.8886074041984122
X_scGPT,43,imatinib,crizotinib,VMCUB1_URINARY_TRACT,478,-0.15236644415301892
X_scGPT,43,imatinib,crizotinib,VMRCRCZ_KIDNEY,300,-0.3835895954399493
X_scGPT,43,imatinib,crizotinib,YD38_UPPER_AERODIGESTIVE_TRACT,624,-0.05360306343012874
X_scGPT,43,imatinib,crizotinib,ZR751_BREAST,309,-0.7168920650286137
X_scGPT,43,imatinib,afatinib,42MGBA_CENTRAL_NERVOUS_SYSTEM,518,-0.08498201549486754
X_scGPT,43,imatinib,afatinib,8305C_THYROID,459,0.03649173358350364
X_scGPT,43,imatinib,afatinib,A204_SOFT_TISSUE,250,-0.41982631782774593
X_scGPT,43,imatinib,afatinib,A2058_SKIN,294,-0.5649971725833852
X_scGPT,43,imatinib,afatinib,A375_SKIN,593,-0.03811280154079425
X_scGPT,43,imatinib,afatinib,ACCMESO1_PLEURA,162,-0.17403300492124177
X_scGPT,43,imatinib,afatinib,ASPC1_PANCREAS,290,0.2772016232100837
X_scGPT,43,imatinib,afatinib,BCPAP_THYROID,152,0.0919634497228658
X_scGPT,43,imatinib,afatinib,BFTC909_KIDNEY,379,-0.8104758377914884
X_scGPT,43,imatinib,afatinib,BHY_UPPER_AERODIGESTIVE_TRACT,145,0.6905093686033695
X_scGPT,43,imatinib,afatinib,BICR16_UPPER_AERODIGESTIVE_TRACT,212,0.29163607235832056
X_scGPT,43,imatinib,afatinib,BICR31_UPPER_AERODIGESTIVE_TRACT,248,0.5749695923566277
X_scGPT,43,imatinib,afatinib,BICR56_UPPER_AERODIGESTIVE_TRACT,81,0.671680216802168
X_scGPT,43,imatinib,afatinib,BICR6_UPPER_AERODIGESTIVE_TRACT,286,0.10233591825376162
X_scGPT,43,imatinib,afatinib,BT474_BREAST,125,0.2698678955453149
X_scGPT,43,imatinib,afatinib,BT549_BREAST,266,0.23014341025342666
X_scGPT,43,imatinib,afatinib,CAKI2_KIDNEY,278,0.48951778370013893
X_scGPT,43,imatinib,afatinib,CALU6_LUNG,258,0.14592470361179075
X_scGPT,43,imatinib,afatinib,CAMA1_BREAST,291,0.08318521151795237
X_scGPT,43,imatinib,afatinib,CAS1_CENTRAL_NERVOUS_SYSTEM,133,0.1390620377266096
X_scGPT,43,imatinib,afatinib,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,-0.5135324239303699
X_scGPT,43,imatinib,afatinib,COLO741_SKIN,329,0.14043361931270598
X_scGPT,43,imatinib,afatinib,COLO792_SKIN,271,0.12266116778814848
X_scGPT,43,imatinib,afatinib,COV434_OVARY,88,-0.2143284843788525
X_scGPT,43,imatinib,afatinib,DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,-0.4649968687825937
X_scGPT,43,imatinib,afatinib,DKMG_CENTRAL_NERVOUS_SYSTEM,271,-0.775894170706413
X_scGPT,43,imatinib,afatinib,EBC1_LUNG,186,0.6821524646951591
X_scGPT,43,imatinib,afatinib,EFE184_ENDOMETRIUM,86,0.44518137648002265
X_scGPT,43,imatinib,afatinib,EFM192A_BREAST,333,0.42388034091374405
X_scGPT,43,imatinib,afatinib,EKVX_LUNG,146,-0.1879112722084583
X_scGPT,43,imatinib,afatinib,FTC133_THYROID,140,0.364706654129584
