rep,alpha,loss,seed,drug,cell_line,n_cells,within_line_sd,line_mean_pred
X_pca,0.0,mse,42,doxorubicin,TE14_OESOPHAGUS,474,0.01890622169142914,0.5230599922218403
X_pca,0.0,mse,42,doxorubicin,CAKI2_KIDNEY,278,0.020749994346564302,0.5901825301509966
X_pca,0.0,mse,42,doxorubicin,SU8686_PANCREAS,82,0.029895817876651666,0.6168565204957637
X_pca,0.0,mse,42,doxorubicin,SCC25_UPPER_AERODIGESTIVE_TRACT,898,0.024009224006471323,0.5191226745634143
X_pca,0.0,mse,42,doxorubicin,SCC9_UPPER_AERODIGESTIVE_TRACT,475,0.025371760163089126,0.5511313436533275
X_pca,0.0,mse,42,platin,NCIH2126_LUNG,264,0.013916929798188227,0.9981457828120752
X_pca,0.0,mse,42,platin,SW579_THYROID,217,0.004556814745849249,0.9913616161192617
X_pca,0.0,mse,42,platin,NCIH446_LUNG,196,0.007278848319373588,0.995273726631184
X_pca,0.0,mse,42,platin,HEC251_ENDOMETRIUM,107,0.006551809138094036,0.9798276067894196
X_pca,0.0,mse,42,platin,MFE319_ENDOMETRIUM,191,0.015580206814329324,0.9914969296355522
X_pca,0.0,mse,42,platin,SKNAS_AUTONOMIC_GANGLIA,226,0.015305421285173659,0.9932202604492154
X_pca,0.0,mse,42,platin,NCIH2452_PLEURA,538,0.0053042059542419626,0.9933573840719173
X_pca,0.0,mse,42,platin,COLO741_SKIN,329,0.006153358762410814,1.0134796157796333
X_pca,0.0,mse,42,platin,KNS42_CENTRAL_NERVOUS_SYSTEM,172,0.01798337173618048,1.0226910117753716
X_pca,0.0,mse,42,platin,MCF7_BREAST,143,0.008860308125878735,0.9987188348403344
X_pca,0.0,mse,42,platin,HT1197_URINARY_TRACT,74,0.017662220631798536,0.9967272716599542
X_pca,0.0,mse,42,platin,SNU899_UPPER_AERODIGESTIVE_TRACT,83,0.012510316810429654,0.9793863892555237
X_pca,0.0,mse,42,platin,HCC38_BREAST,200,0.010504307839011273,0.9867504444718361
X_pca,0.0,mse,42,platin,SNU308_BILIARY_TRACT,94,0.010322597234863465,0.9622044284292992
X_pca,0.0,mse,42,platin,SW1271_LUNG,115,0.012119571415996521,0.9846635403840438
X_pca,0.0,mse,42,platin,TM31_CENTRAL_NERVOUS_SYSTEM,116,0.017922372669259713,1.0169891555761468
X_pca,0.0,mse,42,platin,NCIH747_LARGE_INTESTINE,80,0.007225051036995606,0.9965231664478779
